,KEYWORD,TRAFFIC,DIFFICULTY
0,roc,1.8,5.9
1,odyssey,3.5,8.8
2,chase,6.5,7.5
3,explore,3.5,6.8
4,stg,1.0,5.3
5,nuclear,2.7,7.4
6,snowboarding,3.1,8.8
7,jetpack,4.6,7.8
8,apollo,5.1,4.9
9,nave,1.2,8.6
10,simulator,5.4,9.4
11,plain,2.1,8.1
12,mars,3.3,7.2
13,moor,1.5,7.0
14,fop,1.6,6.2
15,arlo,6.0,8.1
16,blockhead,2.2,8.5
17,powder,4.4,9.5
18,steep,3.7,8.0
19,shuttle,2.9,6.4
20,dive,3.6,8.1
21,bastion,3.4,8.5
22,planet,4.1,7.6
23,astronaut,2.3,4.6
24,demo,2.8,8.5
25,symmetry,2.9,6.3
26,nuke,3.5,7.0
27,adventure,4.7,9.1
28,galactica,2.5,8.2
29,orbit,3.9,7.0
30,hang,2.8,8.0
31,cosmo,3.8,7.2
32,ifruit,5.8,8.3
33,vertical,1.6,6.5
34,badlands,3.1,7.7
35,meteor,2.5,6.6
36,sparks,2.2,6.5
37,jupiter,2.6,1.8
38,catfish,2.8,9.4
39,iss,2.7,7.6
40,dust,4.1,6.0
41,beaker,2.3,7.7
42,bombshell,1.9,7.0
43,hooked,5.6,8.4
44,assemble,2.8,8.1
45,spacecraft,3.4,2.9
46,nasa,1.6,7.2
47,ski,4.4,7.6
48,llama,4.2,7.2
49,trouble,3.2,7.4
50,arbiter,2.9,7.0
51,junkyard,1.9,5.2
52,hovercraft,2.2,6.2
53,oasis,3.9,4.9
54,trigger,3.0,8.3
55,skyrocket,1.1,7.7
56,vtech,2.9,4.0
57,pinout,3.0,7.1
58,lua,2.1,6.2
59,martian,1.1,5.0
60,missile,1.8,6.5
61,popular,4.2,6.6
62,ubisoft,4.7,9.1
63,henri,2.8,7.2
64,chill,2.8,5.4
65,surf,3.9,8.3
66,built,2.7,9.3
67,lenny,1.3,8.9
68,kosmic,2.2,7.4
69,inside,5.1,6.9
70,endless,3.2,7.5
71,usaf,1.5,3.6
72,space,5.1,8.2
73,atmosphere,3.2,4.9
74,rocket,4.7,8.0
75,surfing,3.3,9.2
76,habitat,2.0,5.1
77,frontier,5.1,7.7
78,rocker,1.1,7.8
79,vodoo,4.3,9.4
80,alpaca,3.0,5.2
81,swordigo,3.2,8.2
82,rfs,3.9,8.3
83,skysafari,2.9,8.6
84,slope,5.0,4.8
85,journey,4.7,8.1
86,launch,3.2,6.0
87,rocketship,1.9,7.9
88,flippy,2.4,7.1
89,argus,2.9,4.2
90,monument,4.5,7.0
91,alto,5.0,9.2
92,bored,3.8,6.9
93,defcon,2.6,5.6
94,celeste,2.9,7.7
95,chameleon,2.9,4.8
96,vector,5.2,8.4
97,snowboard,4.1,8.0
98,diving,3.2,7.7
99,ada,3.7,3.6
100,expedition,2.8,6.0
101,saturn,2.9,4.2
102,che,2.2,1.9
103,lunar,3.6,7.4
104,alpine,2.7,6.3
105,cosmos,2.2,6.1
106,skiing,3.6,9.0
